Comment,Sentiment,tokens,filtered_tokens,processed_text
முத்து தம்பி வாழ்க வளமுடன்,1,"['முத்து', 'தம்பி', 'வாழ்க', 'வளமுடன்']","['முத்து', 'தம்பி', 'வாழ்க', 'வளமுடன்']",முத்து தம்பி வாழ்க வளமுடன்
இருக்குற பண பிரச்சனைய இல்லாம பண்றத்துக்கு இல்லாத பல பிரச்சனைய இருக்குற மாதிரி பண்றத்துக்கு இரண்டுதுக்கும் ஒரே இடம் இந்த பிக்பாஸ்,-1,"['இருக்குற', 'பண', 'பிரச்சனைய', 'இல்லாம', 'பண்றத்துக்கு', 'இல்லாத', 'பல', 'பிரச்சனைய', 'இருக்குற', 'மாதிரி', 'பண்றத்துக்கு', 'இரண்டுதுக்கும்', 'ஒரே', 'இடம்', 'இந்த', 'பிக்பாஸ்']","['இருக்குற', 'பண', 'பிரச்சனைய', 'இல்லாம', 'பண்றத்துக்கு', 'இல்லாத', 'பல', 'பிரச்சனைய', 'இருக்குற', 'மாதிரி', 'பண்றத்துக்கு', 'இரண்டுதுக்கும்', 'ஒரே', 'இடம்', 'இந்த', 'பிக்பாஸ்']",இருக்குற பண பிரச்சனைய இல்லாம பண்றத்துக்கு இல்லாத பல பிரச்சனைய இருக்குற மாதிரி பண்றத்துக்கு இரண்டுதுக்கும் ஒரே இடம் இந்த பிக்பாஸ்
குமார,1,['குமார'],['குமார'],குமார
ஓம் நமோ லஷ்மி நாராயணா,1,"['ஓம்', 'நமோ', 'லஷ்மி', 'நாராயணா']","['ஓம்', 'நமோ', 'லஷ்மி', 'நாராயணா']",ஓம் நமோ லஷ்மி நாராயணா
ஓம் சிவ சக்தி,1,"['ஓம்', 'சிவ', 'சக்தி']","['ஓம்', 'சிவ', 'சக்தி']",ஓம் சிவ சக்தி
நன்றி,1,['நன்றி'],['நன்றி'],நன்றி
நன்றி அம்மா,1,"['நன்றி', 'அம்மா']","['நன்றி', 'அம்மா']",நன்றி அம்மா
அம்மா உங்களை எனக்கு ரொம்ப பிடிக்கும்,-1,"['அம்மா', 'உங்களை', 'எனக்கு', 'ரொம்ப', 'பிடிக்கும்']","['அம்மா', 'உங்களை', 'எனக்கு', 'ரொம்ப', 'பிடிக்கும்']",அம்மா உங்களை எனக்கு ரொம்ப பிடிக்கும்
நன்றி அம்மா,1,"['நன்றி', 'அம்மா']","['நன்றி', 'அம்மா']",நன்றி அம்மா
அம்மா நானும் தினமும் விளக்கு எதுவாயின் அம்மா,0,"['அம்மா', 'நானும்', 'தினமும்', 'விளக்கு', 'எதுவாயின்', 'அம்மா']","['அம்மா', 'நானும்', 'தினமும்', 'விளக்கு', 'எதுவாயின்', 'அம்மா']",அம்மா நானும் தினமும் விளக்கு எதுவாயின் அம்மா
அம்மா நான் பூஜை பண்ணும் பொழுது ஏதோ ஒன்னு தடங்கல் ஆகுது எதனாலிங்கம்மா,-1,"['அம்மா', 'நான்', 'பூஜை', 'பண்ணும்', 'பொழுது', 'ஏதோ', 'ஒன்னு', 'தடங்கல்', 'ஆகுது', 'எதனாலிங்கம்மா']","['அம்மா', 'பூஜை', 'பண்ணும்', 'பொழுது', 'ஏதோ', 'ஒன்னு', 'தடங்கல்', 'ஆகுது', 'எதனாலிங்கம்மா']",அம்மா பூஜை பண்ணும் பொழுது ஏதோ ஒன்னு தடங்கல் ஆகுது எதனாலிங்கம்மா
மந்திரம் ஒலிக்க செய்கிறேன் அம்மா சாம்பிராணி விளக்கு ஏற்றுவது மணி அடித்து பூஜை செய்வது பின்பற்றுகிரேன் அம்மா நன்றி அம்மா,1,"['மந்திரம்', 'ஒலிக்க', 'செய்கிறேன்', 'அம்மா', 'சாம்பிராணி', 'விளக்கு', 'ஏற்றுவது', 'மணி', 'அடித்து', 'பூஜை', 'செய்வது', 'பின்பற்றுகிரேன்', 'அம்மா', 'நன்றி', 'அம்மா']","['மந்திரம்', 'ஒலிக்க', 'செய்கிறேன்', 'அம்மா', 'சாம்பிராணி', 'விளக்கு', 'ஏற்றுவது', 'மணி', 'அடித்து', 'பூஜை', 'செய்வது', 'பின்பற்றுகிரேன்', 'அம்மா', 'நன்றி', 'அம்மா']",மந்திரம் ஒலிக்க செய்கிறேன் அம்மா சாம்பிராணி விளக்கு ஏற்றுவது மணி அடித்து பூஜை செய்வது பின்பற்றுகிரேன் அம்மா நன்றி அம்மா
வைகுண்ட ஏகாதசி விரதம் பற்றி சொல்லுங்க,-1,"['வைகுண்ட', 'ஏகாதசி', 'விரதம்', 'பற்றி', 'சொல்லுங்க']","['வைகுண்ட', 'ஏகாதசி', 'விரதம்', 'பற்றி', 'சொல்லுங்க']",வைகுண்ட ஏகாதசி விரதம் பற்றி சொல்லுங்க
நீங்கள் சொல்வது சரிதான் அம்மா,1,"['நீங்கள்', 'சொல்வது', 'சரிதான்', 'அம்மா']","['நீங்கள்', 'சொல்வது', 'சரிதான்', 'அம்மா']",நீங்கள் சொல்வது சரிதான் அம்மா
கந்த சஷ்டி கவசம் உங்கள் குரலில் போடுங்க அம்மா,1,"['கந்த', 'சஷ்டி', 'கவசம்', 'உங்கள்', 'குரலில்', 'போடுங்க', 'அம்மா']","['கந்த', 'சஷ்டி', 'கவசம்', 'உங்கள்', 'குரலில்', 'போடுங்க', 'அம்மா']",கந்த சஷ்டி கவசம் உங்கள் குரலில் போடுங்க அம்மா
அம்மா எனக்கு மன குழப்பம் உள்ளது நாங்கள் சாமி அரை புதுசாக போட்டோம் அதில் ஒரு பக்கம் விநாயகர் வைத்து செய்து உள்ளோம் எந்த ஹில்ஸ் உம் இல்ல கட்காற்று வர போக வழி இல்லை எப்படி குடது என்று சொல்ராக சிலர் இருக்கலாமா குடதா கூடாத,-1,"['அம்மா', 'எனக்கு', 'மன', 'குழப்பம்', 'உள்ளது', 'நாங்கள்', 'சாமி', 'அரை', 'புதுசாக', 'போட்டோம்', 'அதில்', 'ஒரு', 'பக்கம்', 'விநாயகர்', 'வைத்து', 'செய்து', 'உள்ளோம்', 'எந்த', 'ஹில்ஸ்', 'உம்', 'இல்ல', 'கட்காற்று', 'வர', 'போக', 'வழி', 'இல்லை', 'எப்படி', 'குடது', 'என்று', 'சொல்ராக', 'சிலர்', 'இருக்கலாமா', 'குடதா', 'கூடாத']","['அம்மா', 'எனக்கு', 'மன', 'குழப்பம்', 'நாங்கள்', 'சாமி', 'அரை', 'புதுசாக', 'போட்டோம்', 'அதில்', 'பக்கம்', 'விநாயகர்', 'வைத்து', 'செய்து', 'உள்ளோம்', 'எந்த', 'ஹில்ஸ்', 'உம்', 'இல்ல', 'கட்காற்று', 'வர', 'போக', 'வழி', 'எப்படி', 'குடது', 'சொல்ராக', 'சிலர்', 'இருக்கலாமா', 'குடதா', 'கூடாத']",அம்மா எனக்கு மன குழப்பம் நாங்கள் சாமி அரை புதுசாக போட்டோம் அதில் பக்கம் விநாயகர் வைத்து செய்து உள்ளோம் எந்த ஹில்ஸ் உம் இல்ல கட்காற்று வர போக வழி எப்படி குடது சொல்ராக சிலர் இருக்கலாமா குடதா கூடாத
அம்மா நாங்க அபார்ட்மென்ட்ல இருக்கோம் எங்க வீட்டுக்கு எதிர்வீட்டுல முஸ்லிம் வீடு இருக்காங்க நாங்க வடைக்குக்கு குடி இருக்கிற வீடும் முஸ்லிம் வீடுதான் நீங்க சொல்றமாறி நான் காலைல பூஜைசெய்யுறேன் ஆனா மணி அடிச்சா சத்தம் கேட்க்குறானல பக்கத்து வீட்டுல இருக்கிறவங்களுக்கு எல்லாம் தொந்தரவா இருக்குமோனு கஷ்டமா இருக்கு அதனால நான் மணி அடிக்கறது இல்ல பரவால்லையா ரெண்டாவது பூஜை செய்யும்போது வாசல் கதவு கட்டாயம் திறந்து இருக்கணுமா எங்க வீடு வடக்கு நோக்கி அமைந்திருக்கிறது கிழக்கு பக்கமாக பால்கனி இருக்கிறது வாசலை மூடிவிட்டு கிழக்கு பக்கம் இருக்கும் பால்கனியை திறந்துவிட்டு பூஜை செய்யலாமா காலையில் தயவுசெய்து எனது சந்தேகத்தை தீர்த்து வையுங்கள்,-1,"['அம்மா', 'நாங்க', 'அபார்ட்மென்ட்ல', 'இருக்கோம்', 'எங்க', 'வீட்டுக்கு', 'எதிர்வீட்டுல', 'முஸ்லிம்', 'வீடு', 'இருக்காங்க', 'நாங்க', 'வடைக்குக்கு', 'குடி', 'இருக்கிற', 'வீடும்', 'முஸ்லிம்', 'வீடுதான்', 'நீங்க', 'சொல்றமாறி', 'நான்', 'காலைல', 'பூஜைசெய்யுறேன்', 'ஆனா', 'மணி', 'அடிச்சா', 'சத்தம்', 'கேட்க்குறானல', 'பக்கத்து', 'வீட்டுல', 'இருக்கிறவங்களுக்கு', 'எல்லாம்', 'தொந்தரவா', 'இருக்குமோனு', 'கஷ்டமா', 'இருக்கு', 'அதனால', 'நான்', 'மணி', 'அடிக்கறது', 'இல்ல', 'பரவால்லையா', 'ரெண்டாவது', 'பூஜை', 'செய்யும்போது', 'வாசல்', 'கதவு', 'கட்டாயம்', 'திறந்து', 'இருக்கணுமா', 'எங்க', 'வீடு', 'வடக்கு', 'நோக்கி', 'அமைந்திருக்கிறது', 'கிழக்கு', 'பக்கமாக', 'பால்கனி', 'இருக்கிறது', 'வாசலை', 'மூடிவிட்டு', 'கிழக்கு', 'பக்கம்', 'இருக்கும்', 'பால்கனியை', 'திறந்துவிட்டு', 'பூஜை', 'செய்யலாமா', 'காலையில்', 'தயவுசெய்து', 'எனது', 'சந்தேகத்தை', 'தீர்த்து', 'வையுங்கள்']","['அம்மா', 'நாங்க', 'அபார்ட்மென்ட்ல', 'இருக்கோம்', 'எங்க', 'வீட்டுக்கு', 'எதிர்வீட்டுல', 'முஸ்லிம்', 'வீடு', 'இருக்காங்க', 'நாங்க', 'வடைக்குக்கு', 'குடி', 'இருக்கிற', 'வீடும்', 'முஸ்லிம்', 'வீடுதான்', 'நீங்க', 'சொல்றமாறி', 'காலைல', 'பூஜைசெய்யுறேன்', 'ஆனா', 'மணி', 'அடிச்சா', 'சத்தம்', 'கேட்க்குறானல', 'பக்கத்து', 'வீட்டுல', 'இருக்கிறவங்களுக்கு', 'எல்லாம்', 'தொந்தரவா', 'இருக்குமோனு', 'கஷ்டமா', 'இருக்கு', 'அதனால', 'மணி', 'அடிக்கறது', 'இல்ல', 'பரவால்லையா', 'ரெண்டாவது', 'பூஜை', 'செய்யும்போது', 'வாசல்', 'கதவு', 'கட்டாயம்', 'திறந்து', 'இருக்கணுமா', 'எங்க', 'வீடு', 'வடக்கு', 'நோக்கி', 'அமைந்திருக்கிறது', 'கிழக்கு', 'பக்கமாக', 'பால்கனி', 'இருக்கிறது', 'வாசலை', 'மூடிவிட்டு', 'கிழக்கு', 'பக்கம்', 'இருக்கும்', 'பால்கனியை', 'திறந்துவிட்டு', 'பூஜை', 'செய்யலாமா', 'காலையில்', 'தயவுசெய்து', 'எனது', 'சந்தேகத்தை', 'தீர்த்து', 'வையுங்கள்']",அம்மா நாங்க அபார்ட்மென்ட்ல இருக்கோம் எங்க வீட்டுக்கு எதிர்வீட்டுல முஸ்லிம் வீடு இருக்காங்க நாங்க வடைக்குக்கு குடி இருக்கிற வீடும் முஸ்லிம் வீடுதான் நீங்க சொல்றமாறி காலைல பூஜைசெய்யுறேன் ஆனா மணி அடிச்சா சத்தம் கேட்க்குறானல பக்கத்து வீட்டுல இருக்கிறவங்களுக்கு எல்லாம் தொந்தரவா இருக்குமோனு கஷ்டமா இருக்கு அதனால மணி அடிக்கறது இல்ல பரவால்லையா ரெண்டாவது பூஜை செய்யும்போது வாசல் கதவு கட்டாயம் திறந்து இருக்கணுமா எங்க வீடு வடக்கு நோக்கி அமைந்திருக்கிறது கிழக்கு பக்கமாக பால்கனி இருக்கிறது வாசலை மூடிவிட்டு கிழக்கு பக்கம் இருக்கும் பால்கனியை திறந்துவிட்டு பூஜை செய்யலாமா காலையில் தயவுசெய்து எனது சந்தேகத்தை தீர்த்து வையுங்கள்
நீங்க ரொம்ப நல்லா பேசுறீங்க ரொம்ப சூப்பர் உங்களை எனக்கு ரொம்ப புடிச்சிருக்கு,1,"['நீங்க', 'ரொம்ப', 'நல்லா', 'பேசுறீங்க', 'ரொம்ப', 'சூப்பர்', 'உங்களை', 'எனக்கு', 'ரொம்ப', 'புடிச்சிருக்கு']","['நீங்க', 'ரொம்ப', 'நல்லா', 'பேசுறீங்க', 'ரொம்ப', 'சூப்பர்', 'உங்களை', 'எனக்கு', 'ரொம்ப', 'புடிச்சிருக்கு']",நீங்க ரொம்ப நல்லா பேசுறீங்க ரொம்ப சூப்பர் உங்களை எனக்கு ரொம்ப புடிச்சிருக்கு
என்னுடைய பையன் தினமும் விளக்கேற்றுவதன் ஏழாம் வகுப்பு படிக்கிறான் அவனுக்கு ஆசீர்வாதம் கொடுங்கம்மா,1,"['என்னுடைய', 'பையன்', 'தினமும்', 'விளக்கேற்றுவதன்', 'ஏழாம்', 'வகுப்பு', 'படிக்கிறான்', 'அவனுக்கு', 'ஆசீர்வாதம்', 'கொடுங்கம்மா']","['என்னுடைய', 'பையன்', 'தினமும்', 'விளக்கேற்றுவதன்', 'ஏழாம்', 'வகுப்பு', 'படிக்கிறான்', 'அவனுக்கு', 'ஆசீர்வாதம்', 'கொடுங்கம்மா']",என்னுடைய பையன் தினமும் விளக்கேற்றுவதன் ஏழாம் வகுப்பு படிக்கிறான் அவனுக்கு ஆசீர்வாதம் கொடுங்கம்மா
மிக்க நன்றி,1,"['மிக்க', 'நன்றி']","['மிக்க', 'நன்றி']",மிக்க நன்றி
மிக்க நன்றி,1,"['மிக்க', 'நன்றி']","['மிக்க', 'நன்றி']",மிக்க நன்றி
அற்புதமான பதிவு,1,"['அற்புதமான', 'பதிவு']","['அற்புதமான', 'பதிவு']",அற்புதமான பதிவு
அம்மா எங்க அம்மா இறந்து நாட்களாகிறது அம்மா நான் அவங்கள பொன்னு நான எத்தனை நாட்கள் கழித்து பூஜை செய்ய வேண்டிய வேண்டும் அம்மா,-1,"['அம்மா', 'எங்க', 'அம்மா', 'இறந்து', 'நாட்களாகிறது', 'அம்மா', 'நான்', 'அவங்கள', 'பொன்னு', 'நான', 'எத்தனை', 'நாட்கள்', 'கழித்து', 'பூஜை', 'செய்ய', 'வேண்டிய', 'வேண்டும்', 'அம்மா']","['அம்மா', 'எங்க', 'அம்மா', 'இறந்து', 'நாட்களாகிறது', 'அம்மா', 'அவங்கள', 'பொன்னு', 'நான', 'எத்தனை', 'நாட்கள்', 'கழித்து', 'பூஜை', 'செய்ய', 'வேண்டிய', 'வேண்டும்', 'அம்மா']",அம்மா எங்க அம்மா இறந்து நாட்களாகிறது அம்மா அவங்கள பொன்னு நான எத்தனை நாட்கள் கழித்து பூஜை செய்ய வேண்டிய வேண்டும் அம்மா
ஓம் ஊனைமலை தண்டாயுதபாணி வேல்முருகன் துணை,0,"['ஓம்', 'ஊனைமலை', 'தண்டாயுதபாணி', 'வேல்முருகன்', 'துணை']","['ஓம்', 'ஊனைமலை', 'தண்டாயுதபாணி', 'வேல்முருகன்', 'துணை']",ஓம் ஊனைமலை தண்டாயுதபாணி வேல்முருகன் துணை
நெய் வெய்தியம் என்றால் என்ன,-1,"['நெய்', 'வெய்தியம்', 'என்றால்', 'என்ன']","['நெய்', 'வெய்தியம்', 'என்றால்', 'என்ன']",நெய் வெய்தியம் என்றால் என்ன
செய்கிறேன் அம்மா உங்க பிரசங்கம் கேக்க ரொம்ப புடிக்கும்,-1,"['செய்கிறேன்', 'அம்மா', 'உங்க', 'பிரசங்கம்', 'கேக்க', 'ரொம்ப', 'புடிக்கும்']","['செய்கிறேன்', 'அம்மா', 'உங்க', 'பிரசங்கம்', 'கேக்க', 'ரொம்ப', 'புடிக்கும்']",செய்கிறேன் அம்மா உங்க பிரசங்கம் கேக்க ரொம்ப புடிக்கும்
கங்குளியம் என்றால் என்ன சொல்லுங்கள்,-1,"['கங்குளியம்', 'என்றால்', 'என்ன', 'சொல்லுங்கள்']","['கங்குளியம்', 'என்றால்', 'என்ன', 'சொல்லுங்கள்']",கங்குளியம் என்றால் என்ன சொல்லுங்கள்
நன்றி,1,['நன்றி'],['நன்றி'],நன்றி
நன்றி அம்மா,1,"['நன்றி', 'அம்மா']","['நன்றி', 'அம்மா']",நன்றி அம்மா
தூபம் தீபம் ஆர்த்தி நெய்வேதியம் வீட்டில் பொதுவாக எல்லாம் தெய்வங்களுக்கும் செய்யும்போது சொல்ல வேண்டிய மந்திரம் சமஸ்கிருதத்தில் போடுங்கள் அம்மா,-1,"['தூபம்', 'தீபம்', 'ஆர்த்தி', 'நெய்வேதியம்', 'வீட்டில்', 'பொதுவாக', 'எல்லாம்', 'தெய்வங்களுக்கும்', 'செய்யும்போது', 'சொல்ல', 'வேண்டிய', 'மந்திரம்', 'சமஸ்கிருதத்தில்', 'போடுங்கள்', 'அம்மா']","['தூபம்', 'தீபம்', 'ஆர்த்தி', 'நெய்வேதியம்', 'வீட்டில்', 'பொதுவாக', 'எல்லாம்', 'தெய்வங்களுக்கும்', 'செய்யும்போது', 'சொல்ல', 'வேண்டிய', 'மந்திரம்', 'சமஸ்கிருதத்தில்', 'போடுங்கள்', 'அம்மா']",தூபம் தீபம் ஆர்த்தி நெய்வேதியம் வீட்டில் பொதுவாக எல்லாம் தெய்வங்களுக்கும் செய்யும்போது சொல்ல வேண்டிய மந்திரம் சமஸ்கிருதத்தில் போடுங்கள் அம்மா
அம்மா நான் தினமும் காலை க்கும் சாமி கும்பிடுகிறேன் சா நேத்து அதிகாலை சாமி கும்பிட்டு விட்டு மணிக்கு தூங்கினேன் கனவில் ஆண் பிள்ளை பெண் பிள்ளை எங்க வீட்டு வாசல்ல விளையாடினாங்க கதைவை தோரங்க நான் வரேன்னு உள்ள அப்படி நின்னங்க இன்னொருதவங்க வீடு குப்பையை கிடக்கிறது மாரி நான் சுத்தமா வை வீட்ட அப்டின்னு திட்டி வந்து ஏன் வீட்ட தொறந்தேன் ஏன் அப்டி கனவு வந்தது கொஞ்சம் தெளிவா கூறுங்கள் தாயே,-1,"['அம்மா', 'நான்', 'தினமும்', 'காலை', 'க்கும்', 'சாமி', 'கும்பிடுகிறேன்', 'சா', 'நேத்து', 'அதிகாலை', 'சாமி', 'கும்பிட்டு', 'விட்டு', 'மணிக்கு', 'தூங்கினேன்', 'கனவில்', 'ஆண்', 'பிள்ளை', 'பெண்', 'பிள்ளை', 'எங்க', 'வீட்டு', 'வாசல்ல', 'விளையாடினாங்க', 'கதைவை', 'தோரங்க', 'நான்', 'வரேன்னு', 'உள்ள', 'அப்படி', 'நின்னங்க', 'இன்னொருதவங்க', 'வீடு', 'குப்பையை', 'கிடக்கிறது', 'மாரி', 'நான்', 'சுத்தமா', 'வை', 'வீட்ட', 'அப்டின்னு', 'திட்டி', 'வந்து', 'ஏன்', 'வீட்ட', 'தொறந்தேன்', 'ஏன்', 'அப்டி', 'கனவு', 'வந்தது', 'கொஞ்சம்', 'தெளிவா', 'கூறுங்கள்', 'தாயே']","['அம்மா', 'தினமும்', 'காலை', 'க்கும்', 'சாமி', 'கும்பிடுகிறேன்', 'சா', 'நேத்து', 'அதிகாலை', 'சாமி', 'கும்பிட்டு', 'விட்டு', 'மணிக்கு', 'தூங்கினேன்', 'கனவில்', 'ஆண்', 'பிள்ளை', 'பெண்', 'பிள்ளை', 'எங்க', 'வீட்டு', 'வாசல்ல', 'விளையாடினாங்க', 'கதைவை', 'தோரங்க', 'வரேன்னு', 'உள்ள', 'அப்படி', 'நின்னங்க', 'இன்னொருதவங்க', 'வீடு', 'குப்பையை', 'கிடக்கிறது', 'மாரி', 'சுத்தமா', 'வை', 'வீட்ட', 'அப்டின்னு', 'திட்டி', 'வந்து', 'ஏன்', 'வீட்ட', 'தொறந்தேன்', 'ஏன்', 'அப்டி', 'கனவு', 'வந்தது', 'கொஞ்சம்', 'தெளிவா', 'கூறுங்கள்', 'தாயே']",அம்மா தினமும் காலை க்கும் சாமி கும்பிடுகிறேன் சா நேத்து அதிகாலை சாமி கும்பிட்டு விட்டு மணிக்கு தூங்கினேன் கனவில் ஆண் பிள்ளை பெண் பிள்ளை எங்க வீட்டு வாசல்ல விளையாடினாங்க கதைவை தோரங்க வரேன்னு உள்ள அப்படி நின்னங்க இன்னொருதவங்க வீடு குப்பையை கிடக்கிறது மாரி சுத்தமா வை வீட்ட அப்டின்னு திட்டி வந்து ஏன் வீட்ட தொறந்தேன் ஏன் அப்டி கனவு வந்தது கொஞ்சம் தெளிவா கூறுங்கள் தாயே
நன்றி நன்றி இறைவா போற்றி,1,"['நன்றி', 'நன்றி', 'இறைவா', 'போற்றி']","['நன்றி', 'நன்றி', 'இறைவா', 'போற்றி']",நன்றி நன்றி இறைவா போற்றி
இயேசு கிறிஸ்து உங்களை நேசிக்கிறார் இயேசு கிறிஸ்துவை விசுவாசியுங்கள் இயேசு கிறிஸ்துவோடு பேசுங்கள் அவர் உங்களோடு பேசுவார்,1,"['இயேசு', 'கிறிஸ்து', 'உங்களை', 'நேசிக்கிறார்', 'இயேசு', 'கிறிஸ்துவை', 'விசுவாசியுங்கள்', 'இயேசு', 'கிறிஸ்துவோடு', 'பேசுங்கள்', 'அவர்', 'உங்களோடு', 'பேசுவார்']","['இயேசு', 'கிறிஸ்து', 'உங்களை', 'நேசிக்கிறார்', 'இயேசு', 'கிறிஸ்துவை', 'விசுவாசியுங்கள்', 'இயேசு', 'கிறிஸ்துவோடு', 'பேசுங்கள்', 'அவர்', 'உங்களோடு', 'பேசுவார்']",இயேசு கிறிஸ்து உங்களை நேசிக்கிறார் இயேசு கிறிஸ்துவை விசுவாசியுங்கள் இயேசு கிறிஸ்துவோடு பேசுங்கள் அவர் உங்களோடு பேசுவார்
