Comment,Sentiment
சின்ன அம்முனி பெரிய அம்முனி பொறவு பேட்டி வீடியோ எடுக்குற அண்ணாங்களுக்கும் வணக்கமுங்கநம்மூரு மேக்காலிங்கஇப்பல்லாம் நம்மூரு ஆருமே பேசறதிலிங்ககெராமத்துலருந்து பூரா டௌனு பக்கம் வந்துட்டாங்கஉங்க வீடியோ பாத்த பொரவுதா பாரதியார் சொன்ன இன்ப தேன் வந்து பாயுது காதினிலே ஞாபகத்துக்கு வருது வாழ்த்துக்கள்நன்றி,-1
எங்கள் தமிழ் கொங்கு தமிழ்,1
இனிமை,1
அற்புதம் குரலை கேட்கும் போது தேன் வந்து காதில் பாய்கிறமாதிரி இனிமையாக இருக்கிறது,0
எனது தங்கையே நமது கொங்கு தமிழ் வாழ்க,1
வாழ்க கொங்கு தமிழ்,1
மிகவும் இனிமை,1
தங்கச்சி கொங்குத் தமிழ் நல்லா இருக்கு ஆனா சாப்பிடல வானு சொல்லமாட்டாங்க சோறு உங்கலா வானு சொல்லுவாங்க,-1
நல்லது படிப்பில் கவனம் செலுத்த வேண்டும்,1
எவ்வளவு அழகாக தமிழ்,0
சின்னம்மணி நீ சூப்பர் அப்பு,1
உன்னை மாதிரி மனைவி கிடைக்க கடவுள் வரம்,1
நீங்கதானுங்ஒங்களபேட்டிஎடுக்கிறவர்பாவம்பைதியமாட்டம்சிரிச்சிகிட்டேஇருக்காருங்கஇங்கதானுங்ககொஞ்சம் மத்தபடி நீங்கசூப்பருங்க வாழ்,-1
அமுனி இல்லை அம்மணி,-1
கொங்கு தமிழ் இனிமையான தமிழ் மரியாதையாக பேசும் தமிழ் கொங்கு தமிழ் பேசுபவர்களிடம் சண்டை வராது காரணம் கெட்ட வார்த்தைகள் பேசி யாரையும் மனம் புண்படுத்தமாட்டார்கள்,-1
தமிழ் மொழி அருமை தெரியாது ஆங்கிலம் மோகம் பலருக்கும்,-1
இனிமையான கொங்குத் தமிழில் ரசித்து கிருஷ்ணகிரியில்,1
கொங்கு தேர் வாழ்க்கை,1
யோவ் போதிதர்மர் செட்டு உனக்கு சூர்யாவ புடிக்களன்னா நீ படம்பார்க்க போயிர்க்க கூடாது இவர் பெரிய மயிரு சூர்யா அண்ணாவோட ஆக்டிங் தப்பு சொல்றதுக்கு,-1
இவன் தீவிர ரஜினி ரசிகன்,0
உண்மையிலே படம் கேவலமா இருக்கு சூர்யா திறமையான மிகப்பெரிய ஆக்டர்,1
மக்களே தயவுசெய்து யாரும் சினிமாவுக்கு போகதிங்க இப்போது வரும் படங்கள் நடிகர்கள் குறிப்பாக இசை அடிக்கும் அனிருத் எவனுமே சரி இல்லை பழைய படங்கள் மாதிரி வராது பணத்தை வீணாக்காமல் ஏதாவது பண்டிகை காலங்களில் டிவியில் ஒளிபரப்பான பாருங்க,-1
கங்குவா ஊம்பவா,-1
சரியாக சொன்னீர்கள் படம் கண்றாவி,-1
நல்ல படத்தை இப்படி பண்ணிட்டீங்களே டா டேய்,1
படம் எடுத்த விதம் சரி இல்ல அவ்ளோ தான் உங்களுடைய கருத்து ஆனால் நான் பார்த்ததில் படம் அருமை சதவீதம்,-1
தாத்தா ஏன் தியேட்டருக்கு போன,0
அட உண்மையிலே கங்குவா ஒரு மொக்க படம்தான் பா,-1
இந்தப் படத்துக்கு கங்குவா என்ற பெயர் வைப்பது விட கத்தவா என்று பெயர் வைத்திருக்கலாம்,-1
அதுக்கு நீ ஏன்டா கத்துற படம் அருமையாக உள்ளது பிடிக்கவில்லை என்றால் பாதியிலேயே எழுந்து போக வேண்டியது தானே படம் முடியும் வரை படத்தை ரசித்து பார்த்துவிட்டு ஏன்டா இப்படி கத்துற,-1
நீ பாத்த பிட்டுபடத்த யாருடா இங்க கேட்டா,-1
எந்த நேரமும் அதே படத்தை பார்த்துட்டு அதே நெனப்புல இங்க வந்து போடுது இந்த பொறம்போக்கு,-1
எப்ப பாரு அதே மாதிரி படத்தை பார்த்துட்டு இங்க வந்து போடுது பாரு இந்த பொறம்போக்கு,-1
ரசிக்க தெரியாத எந்த நாய் என்ன கதறினாலும் அவர்களுக்கு தெரியாது இதன் அருமை முட்டாள் மக்களுக்கு தேவை ஒரு கமல் படம் இன்றும் ரசிக்க படுகிறது இந்த படம் சில வருடங்களுக்கு பிறகு பாராட்டப்படும் போய் பிட்டு படம் பாருங்க ட சுரரை போற்று பாத்துட்டு செத்து போங்க படம் சூப்பர் தமிழரின் வரலாறு வீரம் தெரியாதவன் மட்டும் கதறிட்டு போ,-1
இந்த வயசுல உனக்கு என்ன படம் வேண்டி இருக்கு வீட்டுக்கு போய் பிரஸர் மாத்திரை சாப்டு தூங்கு,-1
இவர பாத்தா படம் பாத்துட்டு ரிவியூ சொல்ற மாதிரி தெரியல ரிவியூ சொல்றதுக்காகவே படம் பாத்துட்டு வந்து கத்துற மாதிரி இருக்குது,-1
வேர்ல்ட் பெஸ்ட் படம் கங்குவா,0
படம் நல்லா தான் டா இருக்கு கிறுக்கு நீ ஒரு எடுத்து பாரு டா சொட்ட கிறுக்கு கூ,-1
மகா பிரபு நீங்க இங்கேயும் வந்துட்டீங்களா ஒரு படம் எடுத்து தியேட்டர்ல ரிலீஸ் பண்ணி பாரு அந்த வலியும் கஷ்டமும் தெரியும் ரூபாய் கொடுத்து படம் பார்க்க வந்து எதோ டிஸ்ட்ரிபியூட்டர் மாதிரி கவலை படுற மண்டையில முடி தான் இல்லை என்றாலும் மூளையும் முளைக்கவில்லை நாம் இவரை பாத்துக்கலாம்,-1
அருமையான பதிவு கங்கு வாவை கிழித்து விட்டீர்கள்,-1
அவசரப்பட்டு பார்த்து விட்டார் இது போல் ரத்த கொதிப்புள்ளவர்கள் ஒரு வாரம் கழிச்சு மக்கள் கருத்து கேட்ட பின் சென்றயிருக்க வேண்டும்,-1
ஒட்டு மொத்த படத்தையும் காலி பண்ணது இவரு தாண்டா,-1
இவன் பொண்டாட்டி மகள் இரண்டு பேரையும் ஒழுத்துட்டு காசு கொடுக்க மாட்டேன்னு படம் பார்க்கடிக்கட் கொடுத்தேன் அதான் கத்தறான்,-1
அமரன் மயிறு மாதிரி இருந்தது,0
திட்டமிட்ட சதி,1
தாத்தா மயிரு சொல்லும் அளவிற்கு தாத்தா மண்டைல ஒண்ணும் இல்லையெ,-1
பாவம் பரிதாபம் உணர்வு உணர்ச்சி உற்சாகம் உற்பத்தி உறுப்பினர் உடைந்த மனது ஒட்டாது,0
எதுக்கு இது போல எல்லாம் போசுரிங்க,-1
நீய் தான் மெண்டல்,1
அய்யா பெரியவரே ரகசியமாக பாதுகாப்பாக இருங்கள் உங்களை தேடிக்கிட்டு இருக்காங்கலாம்,0
பதிவு சூப்பர்,1
அந்தப் பசையில் பசை இருக்காது அதனால் இந்த நம்பர் கண்ணாடி ஓட்டுற பசங்க கடையில கேளுங்க கிடைக்கும் அதை வாங்கி ஒட்டி ஓட்டுனேன் ஆறு வருஷமா அப்படியே இருக்குது,-1
நீங்க சொல்றது புரியல அது என்ன பசைனு புரியும் படி சொல்லவும்,-1
சரிஒரு சந்தேகம் நீங்க ஒரு ப்ரோவா அல்லது பிரோவா,-1
தகவல் கொடுத்துட்டேன்,-1
மட்டும் தனி,-1
ஆப்செட் ப்ரோ,1
தல ஐஸ் பால் ரூபாய் இருக்கு இல்லை,-1
ஐய்யோ ஐய்ஐய்யோ,0
பொருள்களின் விலை குறைவு தான் ஆனால் எக்ஸ்ட்ரா போடுகிறார்கள்,0
அந்த ஆப் பெயர் என்ன,-1
உங்களின் பேச்சு என் மூளையில் உள்ள பல எண்ணங்களை அகற்றி அமைதியாக கேட்க வைத்து என் மனமும் மூளையும் புதுப்பித்து புத்துணர்வு பெறுகிறது,1
நல்ல புத்தகங்களை தேர்ந்தெடுத்து படியுங்கள் ஒரு சில ஆண்டுகள் முதலில் நீங்கள் ரசியுங்கள் பின் அதையே நீங்கள் பேசுங்கள் உலகத்தில் உங்களை நீங்கள் ரசிக்க வைத்தீர்கள் என்றால் நீங்கள் தான் உங்களுக்கு முதல் ரசிகன் மற்றவர்கள் அந்த நிலைகளில் மெய்மறந்திருப்பார்கள் முயற்சியுங்கள்,1
நன்றி அம்மா என் மனக்குழப்பம் விலகியது,-1
உண்மை,0
உண்மை அம்மாபுத்தகம் ஒரு புரட்சிநாம் நம் மனதை தியானம் வகையில் செலுத்த ஒரு வாய்ப்பு,1
இந்த கதை ஜெயல்லிதா சசிகலா போல,1
நீ எதைத் தேடுகிறாயோ அது உங்களை தேடுகிறது,1
நன்றி அம்மா என் தாய் சமீபத்தில் இறந்து விட்டார் அம்மா இல்லாமல் மிகவும் கஷ்டமாக உள்ளது உங்களுடைய பேச்சு தைரியத்தை கொடுக்கிறது,1
வாசிக்க நினைக்கும் எனக்கு மிகவும் பிடித்து இருக்கும்,1
கலாச்சி விட்டியோ அக்கா,-1
நன்றி வாழ்த்துக்கள்,1
நீ செத்துடுவ செத்துடுவ னா செத்துடுவியா வெக்கமே இல்லாம மேடை ல ஏறி பொய் சொல்லுற பாரு நான் கூட பல விஷயங்கள் ல தோத்துடுவமோ னு பயந்திருக்கன் சத்தியமா நீ சொன்ன ஒன்னும் நடக்கல,-1
நிதா என்ராசத்தி,0
தொலைந்த நட்பையும் தொலைத்த உறவையும் மீட்டுத் தந்தது நமது தொல்லைபேசி நிர்மல் அயர்லாந்து,-1
சுல்தான் அம்மா வாரத்தின் நாளும் விதமான மிருகங்களின் இறச்சியை தின்று கொழுத்து மதவெறி பிரிவினையை மணி நேரமும் மதம் மதம் மலம் என்று கதறி கதறி எங்கள் நாட்டில் ஊடுருவி செய்த கொலை கொள்ளை நாடுபிடித்து சித்திரவதை செஞ்ச மதவெறியர்களின் பாவத்திற்கு இப்போது பெஞ்சமின் நேதன்யாகு பரிசு கொடுக்கிறார் கடவுளை அறியாத பாவிகள்,-1
மேடம் உங்களை ஒரு நாலாவது பார்த்து விட வேண்டும் என்பது என் வாழ் நாள் ஆசை,1
உமது தகுதிக்கும் உம் மீது நாம் கொண்ட வாஞ்சைக்கும் கொஞ்சம் கூட பொருத்தம் அற்றது திமுக விற்கு அடிக்கும் சொம்பு,1
எதைதேடுகிரமோஅதுஉங்கலைதேடுகிரது வார்த்தை அல்ல தேன்கூடூ,-1
என்னைப் பிரிந்த கணவரை நான் தேடுகிறேன்என் கணவர் என்னைத் தேடி வருவாரா ப்ரியா ராமன்,1
நன்றி அம்மா,1
உங்கள் உரை மிகவும் அழகானது,1
எனக்கு புத்தகம் ரொம்ப ரொம்ப பிடிக்கும் வாசிகவும் ரொம்ப பிடிக்கும்,-1
வாழ்த்துக்கள் சகோதரி வெல்கம் டூ பிரபஞ்சம் தேவதை தாயே நீயே துணை வியந்து போனேன் உங்கள் பேச்சு அற்றால்,-1
சகோதரியே உன் பேச்சுக்கு நான் அடிமை ஆனால் நீங்கள் திராவிடயனின் கொத்தடிமை என்பது சிறந்த அறிவாளிகளைக்கூட முட்டாளாகிவிடுகிறது,0
உங்கள் பேச்சு என் மனதில் பசுமரத்தாணி போல் பதிந்தது சிறப்பு,1
இவ்வுலகில் எதுவும் உங்களது அல்ல எல்லா,-1
அதை எப்படி அறிவது என்பதுதான் முதல் தேவை,1
உங்கள் முடி உங்களை கேட்டு வளர்கிறதா எதுவுமே உங்களது அல்ல,0
நல்லா தூங்கு உங்களுக்கு என்ன தெரியும்,1
எனக்கு கார் ஓட்ட ஆசை ஆனால் என்னிடம் அதற்கான வசதி இல்லை,-1
நான் தேடியது எதுவும் இது வரை என்னை தேடியது இல்லை நானா தேடியது தான் எல்லாம் தேடியது கிடைத்தது இல்லை இறைவனிடம் வேண்டி யது இனியும் தேட கூடாது என்று தான்,-1
நான் தேடியது எதுவும் இது வரை என்னை தேடியது இல்லை நானா தேடியது தான் எல்லாம் தேடியது கிடைத்தது இல்லை இறைவனிடம் வேண்டி யது இனியும் தேட கூடாது என்று தான்,-1
உங்கள் மூச்சு நற்காதுநீகள்படிக்கும்புத்தம்வள்ளலார்அருப்பாமத்தில்முஸ்லிம்ஆனால்நம்மைபடைத்தவன்இறைவன்ஓருவன்,-1
வார்த்தை இல்லை என்னிடம்உங்களை பாராட்டுவதற்கு,-1
அருமை மேம்,0
எதை தேடுகிறாயோ அது உன்னை தேடுகிறதுஎன்பது பிரபஞ்ச தத்துவம் இந்த தலைப்புக்கு பிரபஞ்சதத்துவபடி பேசிஇருந்தால் இன்னும் சூப்பரா இருந்திருக்கும் வாழ்க வளமுடன்,-1
இந்த மெசேஜ் பர்வீன்சுல்தானாவுக்கு சென்றடையவும்,-1
நான் பென்சில் நீங்கள் பிளேடு என்னை சீவி கூர்மையாக்க செய்றீங்க உங்களின் மாணவி,1
இந்த உலகத்தின் முதல் அறிவாளி இந்த திறந்த ஸ்பீக்கர் தொண்டக்காரிதான் ஓவர் நெனப்புநிதானம் இல்ல,1
தங்களின் திறமை தடம்புரண்ட தருணம் இனிமேல் உங்கள் பேச்சைக் கேட்பதே இல்லை என முடிவு செய்துவிட்டேன்,0
ஏம்பா நம்ம சொத்து எல்லாம்,-1
அடுத்து குண்டி கழுவி விடுவான்,-1
தந்தை மகன் பாசப் பிணைப்பு எல்லோரிடமும் ஒன்று தான்,-1
நான் பீர்தான்நகுடிப்பேன்,1
அவன் ஜூஸ் குடிச்சா என்ன மூத்திரத்தை குடிச்சா உங்களுக்கு என்னடா,-1
அப்பா,0
அவங்க அப்பா குடிக்க சொல்பமா பக்கத்து வீட்டு இருக்கறவங்களா சொல்லுவாங்க,-1
தெலிங்கின நாய்கள்,0
தெலிங்கின ஈன நாய் சொடல இந்த நாய் பாத்திமாபாபுவைக் கற்பழித்தவன்,-1
ககாயய்யய்த்தூஊஊஊஊ,0
தமிழக மக்களின் மொத்த வரி பணத்தின் பிச்சையை சாப்பிடு,1
இது ஒரு நியூஸா,1
அவனுங்க சு சப்புங்கடா தேபசங்களா,-1
நாட்ல கஞ்சி இல்லாம எவ்வளோ பேர் இருக்காங்கஇந்த திருட்டுபய மவனுங்க ஜூஸ் குடிக்கிறது ரொம்ப முக்கியம்குஞ்சி புடிச்சி மூத்திரம் அடிச்சது சொல்லல,-1
குட்டி அதன் குட்டி என்றா ஒரே தகுதி போதும் மானங்கெட்ட தமிழன் இனம் ஏன் இத்தனை வருட திராவிட அரசில் ஏன் ஒரு தலீத் முதலமைச்சர் யாக இயவில்லை ஓவ்வொரு ஐந்து வருடம் வெவ்வேறு சமூகத்தில் ஒருவர் தான் முதலமைச்சராக வர வேண்டும் என்று ஒரு சட்டம் இயற்ற வேண்டும்,-1
ஊடக திமுக குடும்பத்திற்கு கழுவிவிடும் வேலையை சிறப்பாக செய்கிறீர்கள் பாராட்டுக்குள் கொஞ் நல்லா கழுவுங்கடா இல்லை என்றால் பணம் கிடைக்காது,0
அறிவு இருக்குற எவனும் இத செய்தியா போடமாட்டான்,1
துணை முதலமைச்சர் அடுத்து வரப்போகும் துணை முதலமைச்சருக்கு ஜூஸ் கொடுத்த தருணம்,1
அப்பா ஜூஸ் வேண்டாம் சரக்கு தான் வேணும்,1
சின்னதும்பெரிசும் குடிச்சுமீதிவச்சதை எடுத்துக்குடிக்கபக்கத்தி லே இருந்த அடிமைகளுக்குள்ளே போட்டியே நடந்திருக்குமே அதைக்காட்டலியே,-1
நீ இன்பநதிக்கு குண்டி கழுவுவதையும் ஒரு வீடியோவா போட்டு விடு பா,-1
படுத்தேவிட்டான் ஊடக கொத்தடிமை,-1
அது ஜூஸ் இல்ல வயாகரா மருந்து,0
நாட்டுநலன் செய்திகளை நீங்கள் தர மறப்பதில்லை,0
உச்சா போரத கவர் பன்னல போல,1
மகனுக்கு பசி இல்லை ஜுஸ் கொடுக்கிறார் தமிழ் நாட்டில் எத்தனையோ குடும்பம் பசியால் வாடுது அவங்களுக்கு யார் பசியாற்றுவார் முதல்வர் ஆகிய நீங்களே,-1
லூசு,0
அடேய் அவன் ஜீஸ் மட்டும் தான் குடிக்க சொன்ன என்னமோ சுன்ணி உம்ப சொன்னது மாதிரி போடுறீங்க,-1
ஓத்தா இதல்லாம் ஒரு பிரச்னைன்னய்யா,1
நல்லவேளை சிறுநீர் கழித்துவிட்டு பேம்பர்ஸ் போடாமல் விட்டது,1
சரக்கு கொடு குடிப்பான் அயோக்ய குடும்பம்,1
ஆரம்பத்துல நல்ல நியூஸ் சேனலா தான் இருந்தான் இப்ப ரெட் லைட் மீடியா ஆயிட்டான் உபி,0
ஜல்லிக்கட்டுக்கு வரும் காளைகளுக்கு இவன் மகன் ஏதோ ஒரு வேலை செய்யப் போகிறான் அதற்குத்தான் குடிக்க பழக சொல்கிறாரோ,0
செருப்பாலயே அடிக்கனும் இது ஒரு செய்தியாடா தேவிடியா ஊடகமே,-1
கருமம் பிடித்த ஊடகங்கள்,-1
மானங்கெட்ட மீடியா திருந்துங்கடா,0
ஜூஸா பாலிடாயிலா என்று உறுதி செய்து கொள்கிறார் பாவம்,-1
